"created_at";"updated_at";"deleted_at";"name";"classification";"parse";"metaphone";"name_variations"
"";"";"";"LUZILAINE";"F";"LUZILAINE (lZl)";"lZl";"|LUSILAINE|LUZILAINE|"
"";"";"";"LUZILANDE";"F";"LUZILANDE (lZlD)";"lZlD";"|LUZILANDE|"
"";"";"";"LUZILANE";"F";"LUZILANE (lZl)";"lZl";"|LUSILANE|LUZILANE|"
"";"";"";"LUZILANIA";"F";"LUZILANIA (lZl)";"lZl";"|LUZILANIA|"
"";"";"";"LUZILEIA";"F";"LUZILEIA (lZI)";"lZI";"|LUSILEIA|LUZILEIA|"
"";"";"";"LUZILETE";"F";"LUZILETE (lZT)";"lZT";"|LUSILETE|LUZILETE|"
"";"";"";"LUZIMAIA";"F";"LUZIMAIA (lZMI)";"lZMI";"|LUZIMAIA|"
"";"";"";"LUZIMARE";"F";"LUZIMARE (lZMR)";"lZMR";"|LUZIMARE|"
"";"";"";"LUZIMIRA";"F";"LUZIMIRA (lZM)";"lZM";"|LUZIMIRA|"
"";"";"";"LUZINAIDE";"F";"LUZINAIDE (lZD)";"lZD";"|LUZINAIDE|"
"";"";"";"LUZINAL";"M";"LUZINAL (lZ)";"lZ";"|LUZINAL|LUZINEL|"
"";"";"";"LUZINALDA";"F";"LUZINALDA (lZD)";"lZD";"|LUZINALDA|LUZINILDA|"
"";"";"";"LUZINAN";"M";"LUZINAN (lZM)";"lZM";"|LUZINAN|"
"";"";"";"LUZINARA";"F";"LUZINARA (lZR)";"lZR";"|LUSINARA|LUZINARA|"
"";"";"";"LUZINARIA";"F";"LUZINARIA (lZR)";"lZR";"|LUZINARIA|"
"";"";"";"LUZINARIO";"M";"LUZINARIO (lZR)";"lZR";"|LUZINARIO|"
"";"";"";"LUZINAURA";"F";"LUZINAURA (lZR)";"lZR";"|LUZINAURA|"
"";"";"";"LUSINDA";"F";"LUSINDA (lSD)";"lSD";"|LUSINDA|LUZINDA|"
"";"";"";"LUZINE";"F";"LUZINE (lZ)";"lZ";"|LUZINE|LUZINER|"
"";"";"";"LUZINEA";"F";"LUZINEA (lZ)";"lZ";"|LUZINEA|"
"";"";"";"LUZINEIDA";"F";"LUZINEIDA (lZD)";"lZD";"|LUZINEIDA|"
"";"";"";"LUZINELE";"F";"LUZINELE (lZ)";"lZ";"|LUZINELE|"
"";"";"";"LUZINELIA";"F";"LUZINELIA (lZ)";"lZ";"|LUZINELIA|"
"";"";"";"LUZINELMA";"F";"LUZINELMA (lZM)";"lZM";"|LUZINELMA|"
"";"";"";"LUZINES";"F";"LUZINES (lZS)";"lZS";"|LUZINES|"
"";"";"";"LUZINET";"F";"LUZINET (lZT)";"lZT";"|LUSINET|LUZINET|LUZINETH|"
"";"";"";"LUZINETA";"F";"LUZINETA (lZT)";"lZT";"|LUZINETA|"
"";"";"";"LUZINETI";"F";"LUZINETI (lZT)";"lZT";"|LUSINETI|LUZINETI|"
"";"";"";"LUZINETTE";"F";"LUZINETTE (lZTT)";"lZTT";"|LUZINETTE|"
"";"";"";"LUZINIRA";"F";"LUZINIRA (lZ)";"lZ";"|LUZINIRA|"
"";"";"";"LUZIRAN";"F";"LUZIRAN (lZM)";"lZM";"|LUZIRAN|"
"";"";"";"LUZIRENI";"F";"LUZIRENI (lZ)";"lZ";"|LUZIRENI|"
"";"";"";"LUZITA";"F";"LUZITA (lZT)";"lZT";"|LUZITA|"
"";"";"";"LUZITANO";"M";"LUZITANO (lZT)";"lZT";"|LUZITANO|"
"";"";"";"LUZITELMA";"F";"LUZITELMA (lZTM)";"lZTM";"|LUZITELMA|"
"";"";"";"LUZIVANDO";"M";"LUZIVANDO (lZVD)";"lZVD";"|LUZIVANDO|"
"";"";"";"LUZIVANI";"F";"LUZIVANI (lZV)";"lZV";"|LUSIVANI|LUZIVANI|"
"";"";"";"LUZIVANIO";"M";"LUZIVANIO (lZV)";"lZV";"|LUSIVANIO|LUZIVANIO|"
"";"";"";"LUZIVETE";"F";"LUZIVETE (lZVT)";"lZVT";"|LUZIVETE|"
"";"";"";"LUZMARIA";"F";"LUZMARIA (lZMR)";"lZMR";"|LUSMARIA|LUZMARIA|"
"";"";"";"MAR";"F";"MAR (MR)";"MR";"|MAA|MAHA|MAR|"
"";"";"";"MARIA";"F";"MARIA (MR)";"MR";"|HMARIA|MAARIA|MARAI|MARAIR|MARAY|MARHIA|MARIA|MARIAA|MARIAH|MARIAR|MARIHA|MARIIA|MARRIA|MARYA|MARYAH|MMARIA|"
"";"";"";"MAB";"F";"MAB (MB)";"MB";"|MAB|"
"";"";"";"MABE";"F";"MABE (MB)";"MB";"|MABE|MABER|"
"";"";"";"MABEL";"F";"MABEL (MB)";"MB";"|MABEL|MABIL|MADAIL|MADEL|MADIEL|"
"";"";"";"MABILE";"F";"MABILE (MB)";"MB";"|MABELE|MABIELE|MABILE|MABLE|MADIELE|"
"";"";"";"MABILI";"F";"MABILI (MB)";"MB";"|MABELI|MABELY|MABIELI|MABILI|MABILY|MABLI|MABLY|MADALI|MADELI|"
"";"";"";"MABELLE";"F";"MABELLE (MB)";"MB";"|MABELLE|MABILLE|"
"";"";"";"MABILLY";"F";"MABILLY (MBI)";"MBI";"|MABELLI|MABELLY|MABILLI|MABILLY|"
"";"";"";"MADIR";"F";"MADIR (MDR)";"MDR";"|MABI|MABY|MADI|MADIR|MADY|"
"";"";"";"MABIA";"F";"MABIA (MB)";"MB";"|MABIA|MADAI|MADAIR|MADAY|MADIA|"
"";"";"";"MADIANA";"F";"MADIANA (MD)";"MD";"|MABIANA|MADIANA|"
"";"";"";"MADIANE";"F";"MADIANE (MD)";"MD";"|MABIANE|MADIANE|"
"";"";"";"MABILA";"F";"MABILA (MBl)";"MBl";"|MABILA|MABLA|MADELA|MADILA|MADLA|"
"";"";"";"MABILIA";"F";"MABILIA (MB)";"MB";"|MABILIA|"
"";"";"";"MABIO";"M";"MABIO (MB)";"MB";"|MABIO|MADIO|"
"";"";"";"MADSON";"M";"MADSON (MDSM)";"MDSM";"|MABSON|MADSOM|MADSON|"
"";"";"";"MAC";"M";"MAC (MK)";"MK";"|MAC|MAK|"
"";"";"";"MACALISTER";"M";"MACALISTER (MKSTR)";"MKSTR";"|MACALISTER|MAKALISTER|"
"";"";"";"MACARENA";"F";"MACARENA (MKR)";"MKR";"|MACARENA|"
"";"";"";"MACARIA";"F";"MACARIA (MKR)";"MKR";"|MACARIA|"
"";"";"";"MACARIO";"M";"MACARIO (MKR)";"MKR";"|MACARIO|"
"";"";"";"MACILIA";"F";"MACILIA (MS)";"MS";"|MACAULAY|MACELIA|MACIELIA|MACILIA|"
"";"";"";"MACIELI";"F";"MACIELI (MS)";"MS";"|MACAELI|MACAULI|MACAULY|MACELI|MACELY|MACIELI|MACIELY|MACILEI|MACLEI|MACLEY|MACOLI|MAKAELI|MAKAELY|MAKELI|MAKELY|MAKIELI|MAKLEI|MAKLEY|"
"";"";"";"MACDONALD";"M";"MACDONALD (MKDD)";"MKDD";"|MACDONALD|"
"";"";"";"MACDOWELL";"M";"MACDOWELL (MKDV)";"MKDV";"|MACDOWELL|"
"";"";"";"MACEANE";"F";"MACEANE (MS)";"MS";"|MACEANE|"
"";"";"";"MACEDO";"M";"MACEDO (MSD)";"MSD";"|MACEDO|"
"";"";"";"MACEDONIO";"M";"MACEDONIO (MSD)";"MSD";"|MACEDONIO|"
"";"";"";"MACIEL";"M";"MACIEL (MS)";"MS";"|MACAEL|MACAL|MACEL|MACIAL|MACIEL|MACIL|MAKAEL|MAKEL|MAKIEL|MAKUEL|"
"";"";"";"MACELA";"F";"MACELA (MSl)";"MSl";"|MACAELA|MACELA|MACIELA|MACILA|MACLA|MAKAELA|MAKEILA|"
"";"";"";"MACIELE";"F";"MACIELE (MS)";"MS";"|MACAELE|MACAULE|MACELE|MACIELE|MACILE|MACOLE|MAKAELE|MAKELE|MAKIELE|"
"";"";"";"MACLAINE";"F";"MACLAINE (MKl)";"MKl";"|MACELIANE|MACILAINE|MACILIANE|MACLAINE|"
"";"";"";"MACELINO";"M";"MACELINO (MS)";"MS";"|MACELINHO|MACELINO|MACILINO|MACOLINO|MACULINO|"
"";"";"";"MACILIO";"M";"MACILIO (MS)";"MS";"|MACELIO|MACIELIO|MACILIO|"
"";"";"";"MACELL";"M";"MACELL (MS)";"MS";"|MACELL|"
"";"";"";"MACELLA";"F";"MACELLA (MSl)";"MSl";"|MACELLA|"
"";"";"";"MACELLE";"F";"MACELLE (MS)";"MS";"|MACELLE|MACIELLE|MAKELLE|"
"";"";"";"MAKELLY";"F";"MAKELLY (MKI)";"MKI";"|MACELLI|MACELLY|MACIELLY|MAKELLI|MAKELLY|"
"";"";"";"MACELLO";"M";"MACELLO (MSl)";"MSl";"|MACELLO|"
"";"";"";"MACIELMA";"F";"MACIELMA (MSM)";"MSM";"|MACELMA|MACIELMA|"
"";"";"";"MACELO";"M";"MACELO (MSl)";"MSl";"|MACELO|MACILHO|MACILO|"
"";"";"";"MACEMINO";"M";"MACEMINO (MSM)";"MSM";"|MACEMINO|"
"";"";"";"MACENA";"F";"MACENA (MS)";"MS";"|MACENA|"
"";"";"";"MACENILDA";"F";"MACENILDA (MSD)";"MSD";"|MACENILDA|"
"";"";"";"MACENILDE";"F";"MACENILDE (MSD)";"MSD";"|MACENILDE|"
"";"";"";"MACENILDO";"M";"MACENILDO (MSD)";"MSD";"|MACENILDO|"
"";"";"";"MACEONE";"M";"MACEONE (MS)";"MS";"|MACEONE|"
"";"";"";"MACGYVER";"M";"MACGYVER (MKIVR)";"MKIVR";"|MACGYVER|"
"";"";"";"MAXUEL";"M";"MAXUEL (MKS)";"MKS";"|MACHAEL|MACHEL|MACHIEL|MACHUEL|MASSAL|MASSIEL|MASSUEL|MAXEL|MAXEUL|MAXIEL|MAXIUEL|MAXOEL|MAXSSUEL|MAXUEL|MAXYEL|"
"";"";"";"MAXLEI";"M";"MAXLEI (MKS)";"MKS";"|MACHELI|MAXIELI|MAXILEI|MAXILEY|MAXLEI|MAXLEY|MAXUELI|"
"";"";"";"MACIR";"M";"MACIR (MSR)";"MSR";"|MACI|MACIR|MACYR|MAKEY|MAKI|MAKY|"
"";"";"";"MACIA";"F";"MACIA (MS)";"MS";"|MACIA|"
"";"";"";"MACIANA";"F";"MACIANA (MS)";"MS";"|MACIANA|"
"";"";"";"MACIANE";"F";"MACIANE (MS)";"MS";"|MACIANE|"
"";"";"";"MACIANI";"F";"MACIANI (MS)";"MS";"|MACIANI|"
"";"";"";"MACIANO";"M";"MACIANO (MS)";"MS";"|MACIANO|"
"";"";"";"MACIARA";"F";"MACIARA (MSR)";"MSR";"|MACIARA|"
"";"";"";"MACICLEIA";"F";"MACICLEIA (MSKI)";"MSKI";"|MACICLEIA|"
"";"";"";"MACICLEIDE";"F";"MACICLEIDE (MSKD)";"MSKD";"|MACICLEIDE|"
"";"";"";"MACILDA";"F";"MACILDA (MSD)";"MSD";"|MACIELDA|MACILDA|"
"";"";"";"MACIENE";"F";"MACIENE (MS)";"MS";"|MACIENE|"
"";"";"";"MACIETE";"F";"MACIETE (MST)";"MST";"|MACIETE|"
"";"";"";"MACILANDIA";"F";"MACILANDIA (MSlD)";"MSlD";"|MACILANDIA|"
"";"";"";"MACILANE";"F";"MACILANE (MSl)";"MSl";"|MACELANE|MACILANE|MACLANE|"
"";"";"";"MACILANIA";"F";"MACILANIA (MSl)";"MSl";"|MACILANIA|"
"";"";"";"MACILDE";"F";"MACILDE (MSD)";"MSD";"|MACILDE|"
"";"";"";"MACILDO";"M";"MACILDO (MSD)";"MSD";"|MACEILDO|MACIELDO|MACILDO|"
"";"";"";"MACILEIA";"F";"MACILEIA (MSI)";"MSI";"|MACILEIA|MACLEIA|"
"";"";"";"MACILEIDE";"F";"MACILEIDE (MSD)";"MSD";"|MACILEIDE|MACLEIDE|"
"";"";"";"MACILENA";"F";"MACILENA (MS)";"MS";"|MACILENA|"
"";"";"";"MACILENE";"F";"MACILENE (MS)";"MS";"|MACELENE|MACILENE|MACLENE|MAKLENE|"
"";"";"";"MACILENI";"F";"MACILENI (MS)";"MS";"|MACILENI|"
"";"";"";"MACILIANA";"F";"MACILIANA (MS)";"MS";"|MACELIANA|MACILIANA|"
"";"";"";"MACILIANO";"M";"MACILIANO (MS)";"MS";"|MACELIANO|MACILIANO|"
"";"";"";"MACILON";"M";"MACILON (MSlM)";"MSlM";"|MACILOM|MACILON|"
"";"";"";"MACIMIANA";"F";"MACIMIANA (MSM)";"MSM";"|MACIMIANA|"
"";"";"";"MACIMIANO";"M";"MACIMIANO (MSM)";"MSM";"|MACIMIANO|"
"";"";"";"MACIMINO";"M";"MACIMINO (MSM)";"MSM";"|MACIMINO|"
"";"";"";"MACIMO";"M";"MACIMO (MSM)";"MSM";"|MACIMO|"
"";"";"";"MACINALDO";"M";"MACINALDO (MSD)";"MSD";"|MACINALDO|"
"";"";"";"MACINEIDE";"F";"MACINEIDE (MSD)";"MSD";"|MACINEIDE|"
"";"";"";"MACINETE";"F";"MACINETE (MST)";"MST";"|MACINETE|"
"";"";"";"MACIO";"M";"MACIO (MS)";"MS";"|MACIO|MAKIO|"
"";"";"";"MACION";"M";"MACION (MSM)";"MSM";"|MACION|"
"";"";"";"MACIONE";"F";"MACIONE (MS)";"MS";"|MACIONE|"
"";"";"";"MACIONIL";"M";"MACIONIL (MS)";"MS";"|MACIONIL|"
"";"";"";"MACIONILA";"F";"MACIONILA (MSl)";"MSl";"|MACIONILA|MACIONILHA|"
"";"";"";"MACIONILIA";"F";"MACIONILIA (MS)";"MS";"|MACIONILIA|"
"";"";"";"MACIONILIO";"M";"MACIONILIO (MS)";"MS";"|MACIONILIO|"
"";"";"";"MACIONILO";"M";"MACIONILO (MSl)";"MSl";"|MACIONILHO|MACIONILO|"
"";"";"";"MACIONEI";"M";"MACIONEI (MS)";"MS";"|MACIONEI|MACIONI|MACIONIR|"
"";"";"";"MACIRA";"F";"MACIRA (MS)";"MS";"|MACIRA|"
"";"";"";"MACIRENE";"F";"MACIRENE (MS)";"MS";"|MACIRENE|"
"";"";"";"MACIRIA";"F";"MACIRIA (MS)";"MS";"|MACIRIA|"
"";"";"";"MACIRLEI";"M";"MACIRLEI (MSR)";"MSR";"|MACIRLEI|"
"";"";"";"MACIRLENE";"F";"MACIRLENE (MSR)";"MSR";"|MACIRLENE|"
"";"";"";"MACIRO";"M";"MACIRO (MS)";"MS";"|MACIRO|"
"";"";"";"MACIVALDO";"M";"MACIVALDO (MSVD)";"MSVD";"|MACIVALDO|"
"";"";"";"MACIVAN";"M";"MACIVAN (MSVM)";"MSVM";"|MACIVAN|"
"";"";"";"MACIVANIA";"F";"MACIVANIA (MSV)";"MSV";"|MACIVANIA|"
"";"";"";"MACK";"M";"MACK (MKK)";"MKK";"|MACK|"
"";"";"";"MACKISON";"M";"MACKISON (MKKSM)";"MKKSM";"|MACKISON|"
"";"";"";"MACKLEY";"M";"MACKLEY (MKKI)";"MKKI";"|MACKLEY|"
"";"";"";"MACKS";"M";"MACKS (MKKS)";"MKKS";"|MACKS|"
"";"";"";"MACKSON";"M";"MACKSON (MKKSM)";"MKKSM";"|MACKSOM|MACKSON|"
"";"";"";"MACKSUEL";"M";"MACKSUEL (MKKS)";"MKKS";"|MACKSOEL|MACKSUEL|"
"";"";"";"MACLAUDIO";"M";"MACLAUDIO (MKlD)";"MKlD";"|MACLAUDIO|"
"";"";"";"MACLEAN";"M";"MACLEAN (MKM)";"MKM";"|MACLEAN|"
"";"";"";"MACLEANE";"F";"MACLEANE (MK)";"MK";"|MACLEANE|"
"";"";"";"MACELINE";"F";"MACELINE (MS)";"MS";"|MACELINE|MACLEINE|MACLINE|MAKELINE|"
"";"";"";"MACLEITON";"M";"MACLEITON (MKTM)";"MKTM";"|MACLEITON|"
"";"";"";"MACLICIA";"F";"MACLICIA (MKS)";"MKS";"|MACLICIA|"
"";"";"";"MACLOVIA";"F";"MACLOVIA (MKlV)";"MKlV";"|MACLOVIA|"
"";"";"";"MACRINA";"F";"MACRINA (MKR)";"MKR";"|MACRINA|"
"";"";"";"MACRINO";"M";"MACRINO (MKR)";"MKR";"|MACRINO|"
"";"";"";"MAKSUEL";"M";"MAKSUEL (MKS)";"MKS";"|MACSOEL|MACSUEL|MAKSOEL|MAKSUEL|"
"";"";"";"MAKSON";"M";"MAKSON (MKSM)";"MKSM";"|MACSOM|MACSON|MAKSOM|MAKSON|"
"";"";"";"MACULADA";"F";"MACULADA (MKlD)";"MKlD";"|MACULADA|"
"";"";"";"MADA";"F";"MADA (MD)";"MD";"|MADA|"
"";"";"";"MADILDE";"F";"MADILDE (MDD)";"MDD";"|MADAILDE|MADILDE|"
"";"";"";"MADELEINE";"F";"MADELEINE (MD)";"MD";"|MADALEINE|MADALINE|MADELEINE|MADELINE|MADILEINE|MADLEINE|"
"";"";"";"MADALENA";"F";"MADALENA (MD)";"MD";"|MADALENA|MADELENA|MADLENA|"
"";"";"";"MADELENE";"F";"MADELENE (MD)";"MD";"|MADALENE|MADELENE|MADILENE|MADLENE|"
"";"";"";"MADALENO";"M";"MADALENO (MD)";"MD";"|MADALENO|"
"";"";"";"MADARA";"F";"MADARA (MDR)";"MDR";"|MADARA|"
"";"";"";"MADDALENA";"F";"MADDALENA (MDD)";"MDD";"|MADDALENA|"
"";"";"";"MADELAINE";"F";"MADELAINE (MDl)";"MDl";"|MADELAINE|"
"";"";"";"MADELEIDE";"F";"MADELEIDE (MDD)";"MDD";"|MADELEIDE|MADILEIDE|"
"";"";"";"MADELON";"F";"MADELON (MDlM)";"MDlM";"|MADELON|"
"";"";"";"MADERSON";"M";"MADERSON (MDRSM)";"MDRSM";"|MADERSON|"
"";"";"";"MADJER";"M";"MADJER (MDJR)";"MDJR";"|MADGE|MADGER|MADJER|"
"";"";"";"MADIAN";"F";"MADIAN (MDM)";"MDM";"|MADIAN|"
"";"";"";"MADIANO";"M";"MADIANO (MD)";"MD";"|MADIANO|"
"";"";"";"MADINA";"F";"MADINA (MD)";"MD";"|MADINA|"
"";"";"";"MADISON";"M";"MADISON (MDSM)";"MDSM";"|MABISON|MADISOM|MADISON|MADYSON|"
"";"";"";"MADISSON";"M";"MADISSON (MDS)";"MDS";"|MADISSON|"
"";"";"";"MADJA";"F";"MADJA (MDJ)";"MDJ";"|MADGA|MADJA|"
"";"";"";"MADJANE";"F";"MADJANE (MDJ)";"MDJ";"|MADJANE|"
"";"";"";"MADNA";"F";"MADNA (MD)";"MD";"|MADNA|"
"";"";"";"MADONA";"F";"MADONA (MD)";"MD";"|MADONA|MADONNA|"
"";"";"";"MADRIANA";"F";"MADRIANA (MDR)";"MDR";"|MADRIANA|"
"";"";"";"MADRIANE";"F";"MADRIANE (MDR)";"MDR";"|MADRIANE|"
"";"";"";"MADRILENE";"F";"MADRILENE (MDR)";"MDR";"|MADRILENE|"
"";"";"";"MADSSON";"M";"MADSSON (MDS)";"MDS";"|MADSSON|"
"";"";"";"MAE";"F";"MAE (M)";"M";"|MAE|MAER|MAHER|"
"";"";"";"MAECIO";"M";"MAECIO (MS)";"MS";"|MAECIO|MECIO|"
"";"";"";"MEDA";"F";"MEDA (MD)";"MD";"|MAEDA|MEDA|"
"";"";"";"MEDISON";"M";"MEDISON (MDSM)";"MDSM";"|MAEDISON|MEDISON|"
"";"";"";"MAEDNA";"F";"MAEDNA (MD)";"MD";"|MAEDNA|"
"";"";"";"MEDSON";"M";"MEDSON (MDSM)";"MDSM";"|MAEDSON|MEDSOM|MEDSON|"
"";"";"";"MEL";"F";"MEL (M)";"M";"|MAEL|MAIL|MAOEL|MAUEL|MEL|MIEL|MIHAEL|MIHAIL|MIHEL|MIL|MIUEL|MOEL|"
"";"";"";"MAILA";"F";"MAILA (Ml)";"Ml";"|MAELA|MAILA|MAILHA|MALA|MALHA|MAOELA|MAUELA|MAYALA|MAYLA|MEILA|MELHA|MEYLA|MIELA|MILA|MILAR|MILHA|MYLA|"
"";"";"";"MAILDE";"F";"MAILDE (MD)";"MD";"|MAELBE|MAILDE|MALBER|MALDE|MILBER|MILDE|"
"";"";"";"MAELCIO";"M";"MAELCIO (MS)";"MS";"|MAELCIO|"
"";"";"";"MILER";"F";"MILER (MR)";"MR";"|MAELE|MAILE|MAILER|MAIULE|MAYELE|MAYLE|MEILE|MIELE|MIHELE|MILE|MILER|MILHER|MULER|MULHER|"
"";"";"";"MAELEN";"F";"MAELEN (MM)";"MM";"|MAELEM|MAELEN|MAILEN|MALEN|MAYELEN|MELHEM|MIELEN|MILEM|MILEN|"
"";"";"";"MILENE";"F";"MILENE (M)";"M";"|MAEILENE|MAELENE|MAILENE|MALENE|MAYLENE|MEILENE|MELENE|MILENE|MILENNE|MLENE|MYLENE|MYLENNE|"
"";"";"";"MAELI";"F";"MAELI (M)";"M";"|MAALI|MAELI|MAELIR|MAELY|MAHELI|MAHELY|MAILEI|MAILI|MAILY|MAIULI|MAIULY|MALEI|MALEY|MALI|MALIR|MALY|MAULI|MAYELI|MAYLI|MAYULI|MEILI|MEILY|MELI|MELY|MIELI|MIELY|MIHELI|MILEI|MILEY|MILI|MILY|MOELI|"
"";"";"";"MELIA";"F";"MELIA (M)";"M";"|MAELIA|MAILIA|MALIA|MELIA|MILAI|MILIA|MOELIA|"
"";"";"";"MALIO";"M";"MALIO (M)";"M";"|MAELIO|MALIO|MAUILIO|MAULIO|MELIO|"
"";"";"";"MAILIS";"F";"MAILIS (MS)";"MS";"|MAELIS|MAILIS|MELIS|MILIS|"
"";"";"";"MALISON";"M";"MALISON (MSM)";"MSM";"|MAELISON|MALISON|MIELISON|MOALISON|"
"";"";"";"MILLER";"M";"MILLER (MR)";"MR";"|MAELLE|MAILLE|MAYELLE|MAYLLE|MIELLE|MIHELLE|MIILLER|MILELE|MILHELE|MILIELE|MILLE|MILLER|MULLER|MYLLE|MYLLER|"
"";"";"";"MAELLEN";"F";"MAELLEN (MM)";"MM";"|MAELLEN|MAYELLEN|MILLEN|"
"";"";"";"MAELLY";"F";"MAELLY (MI)";"MI";"|MAELLI|MAELLY|MAILLY|MAYELLI|MAYELLY|MAYLLY|MELLY|MIELLY|MILIELI|MILLI|MILLY|"
"";"";"";"MILMA";"F";"MILMA (MM)";"MM";"|MAELMA|MAILMA|MELMA|MILMA|MILMAR|MOELMA|"
"";"";"";"MAILSO";"M";"MAILSO (MS)";"MS";"|MAELSO|MAILSO|MAILZO|MILSO|MILZO|"
"";"";"";"MAILSON";"M";"MAILSON (MSM)";"MSM";"|MAELSOM|MAELSON|MAILSOM|MAILSON|MAILZON|MALSON|MAYLSON|MEILSON|MELSON|MIELSON|MILSOM|MILSON|"
"";"";"";"MILTON";"M";"MILTON (MTM)";"MTM";"|MAELTON|MAILTOM|MAILTON|MALTON|MAYLTON|MEILTON|MELTON|MILTHON|MILTOM|MILTON|MLTOM|MLTON|MOLTON|MYLTON|"
"";"";"";"MENA";"F";"MENA (M)";"M";"|MAENA|MENA|"
"";"";"";"MAENDRA";"F";"MAENDRA (MDR)";"MDR";"|MAENDRA|"
"";"";"";"MERCIA";"F";"MERCIA (MRS)";"MRS";"|MAERCIA|MERCIA|MERCYA|"
"";"";"";"MERCIO";"M";"MERCIO (MRS)";"MRS";"|MAERCIO|MERCIO|"
"";"";"";"MERI";"F";"MERI (M)";"M";"|MAERI|MERI|MERRY|MERY|"
"";"";"";"MERIELE";"F";"MERIELE (M)";"M";"|MAERLE|MERELE|MERIELE|MERILE|MERLE|MERYELE|"
"";"";"";"MERILENE";"F";"MERILENE (M)";"M";"|MAERLENE|MERELENE|MERILENE|MERLENE|MERYLENE|"
"";"";"";"MERIELI";"F";"MERIELI (M)";"M";"|MAERLI|MAERLY|MERALI|MERELI|MERELY|MERIELI|MERIELY|MERILEI|MERILI|MERILY|MERLEI|MERLEY|MERLI|MERLY|MEROLI|MEROLY|"
"";"";"";"MERSON";"M";"MERSON (MRSM)";"MRSM";"|MAERSON|MERSON|"
"";"";"";"MESIA";"F";"MESIA (MS)";"MS";"|MAESIA|MAEZIA|MESIA|MEZIA|"
"";"";"";"MAESSA";"F";"MAESSA (MS)";"MS";"|MAESSA|"
"";"";"";"MAETE";"F";"MAETE (MT)";"MT";"|MAETE|"
"";"";"";"MAEVA";"F";"MAEVA (MV)";"MV";"|MAEVA|"
"";"";"";"MAEVE";"F";"MAEVE (MV)";"MV";"|MAEVE|"
"";"";"";"MAEVELIN";"F";"MAEVELIN (MVM)";"MVM";"|MAEVELIN|"
"";"";"";"MAEVI";"F";"MAEVI (MV)";"MV";"|MAEVI|MAEVY|"
"";"";"";"MAEVIA";"F";"MAEVIA (MV)";"MV";"|MAEVIA|"
"";"";"";"MAESIO";"M";"MAESIO (MS)";"MS";"|MAESIO|MAEZIO|"
"";"";"";"MAFALDA";"F";"MAFALDA (MFD)";"MFD";"|MAFALDA|"
"";"";"";"MAFALDO";"M";"MAFALDO (MFD)";"MFD";"|MAFALDO|"
"";"";"";"MAFAUDA";"F";"MAFAUDA (MFD)";"MFD";"|MAFAUDA|"
"";"";"";"MAFISA";"F";"MAFISA (MFS)";"MFS";"|MAFISA|MAFIZA|"
"";"";"";"MAFRA";"F";"MAFRA (MFR)";"MFR";"|MAFRA|"
"";"";"";"MAFRAN";"M";"MAFRAN (MFRM)";"MFRM";"|MAFRAM|MAFRAN|"
"";"";"";"MAG";"F";"MAG (M)";"M";"|MAG|"
"";"";"";"MAGADA";"F";"MAGADA (MGD)";"MGD";"|MAGADA|"
"";"";"";"MAGADIEL";"M";"MAGADIEL (MGD)";"MGD";"|MAGADIEL|"
"";"";"";"MAGAIVER";"M";"MAGAIVER (MGVR)";"MGVR";"|MAGAIVE|MAGAIVER|MAGAYVER|"
"";"";"";"MAGAL";"M";"MAGAL (MG)";"MG";"|MAGAL|MAGUEL|MAGUIL|"
"";"";"";"MAGALE";"F";"MAGALE (MG)";"MG";"|MAGALE|"
"";"";"";"MAGLENE";"F";"MAGLENE (M)";"M";"|MAGALENE|MAGLENE|MAGUILENE|"
"";"";"";"MAGALHAES";"M";"MAGALHAES (MG1S)";"MG1S";"|MAGALHAES|"
"";"";"";"MAGALI";"F";"MAGALI (MG)";"MG";"|MAGALHI|MAGALI|MAGALIR|MAGALY|MAGELI|MAGLI|"
"";"";"";"MAGALIA";"F";"MAGALIA (MG)";"MG";"|MAGALIA|MAGLIA|"
"";"";"";"MAGALLY";"F";"MAGALLY (MGI)";"MGI";"|MAGALLI|MAGALLY|"
"";"";"";"MAGALONA";"F";"MAGALONA (MGl)";"MGl";"|MAGALONA|"
"";"";"";"MAGARETH";"F";"MAGARETH (MGRT)";"MGRT";"|MAGARET|MAGARETH|"
"";"";"";"MAGARETE";"F";"MAGARETE (MGRT)";"MGRT";"|MAGARETE|MAGARETHE|"
"";"";"";"MAGARI";"F";"MAGARI (MGR)";"MGR";"|MAGARI|"
"";"";"";"MAGBIS";"M";"MAGBIS (MBS)";"MBS";"|MAGBIS|"
"";"";"";"MAGDA";"F";"MAGDA (MD)";"MD";"|MAGDA|"
"";"";"";"MAGDIEL";"M";"MAGDIEL (MD)";"MD";"|MAGDAEL|MAGDAL|MAGDEL|MAGDIEL|MAGDYEL|"
"";"";"";"MAGDALA";"F";"MAGDALA (MDl)";"MDl";"|MAGDALA|"
"";"";"";"MAGDALENA";"F";"MAGDALENA (MD)";"MD";"|MAGDALENA|"
"";"";"";"MAGDALENE";"F";"MAGDALENE (MD)";"MD";"|MAGDALENE|"
"";"";"";"MAGDALIA";"F";"MAGDALIA (MD)";"MD";"|MAGDALIA|"
"";"";"";"MAGDALVA";"F";"MAGDALVA (MDV)";"MDV";"|MAGDALVA|"
"";"";"";"MAGDIANE";"F";"MAGDIANE (MD)";"MD";"|MAGDIANE|"
